S1E1,Dialogue
BoJack," Gotta save the planet, Diane."
Mr. Peanutbutter," Hey, is that BoJack Horseman? I really don't know because I have no peripheral vision. Going off of smell here folks."
BoJack," Mr. Peanutbutter, how the hell are you?"
Mr. Peanutbutter," Loving it, buddy. Loving life."
BoJack," Brother, I am right there with you. I got a brand-new attitude and I am also loving life."
Diane, Uh—
Mr. Peanutbutter," Diane, look at us. A couple life-lovers over here."
Diane, Uh
BoJack," Is that a new cone? Looking sharp, PB."
Mr. Peanutbutter," Oh, it is a new cone. Is it really obvious I'm wearing a cone?"
BoJack, Didn't even notice. Because you've got the smile of a winner.
Diane, What's going on here?
Mr. Peanutbutter, I have to wear the cone so I don't gnaw on the stitches I had to get when I punched a mirror last week. I got drunk and thought my reflection was another dog. I was so mad at that other dog. He was wearing my clothes.
BoJack," Hey, we've all been there."
Diane, I don't understand what's happening.
Mr. Peanutbutter," Did someone says something to the left of me? Diane, sweetheart, is that you?"
BoJack," Hey, why don't we just us two schedj a hang for this kend? Kend is how I say weekend now."
Mr. Peanutbutter," Uh, I love that. And I got a pair of tix to the 'Stones show this 'kend. Wanna go?"
BoJack, The Rolling Stones?
Mr. Peanutbutter," What? Oh, no, no, no. The Mighty Mighty Bosstones."
BoJack," You know, I'm not really familiar with that outfit, but I do love trying new things."
Diane, Who are you?
BoJack," Anyway, we gotta get to work. It was really great talking to you, Mr.Peanutbutter."
Mr. Peanutbutter," All right, break a leg, good buddy. Diane, BoJack's ready to go. Where are you, sweetheart? Are you ready?"
Andrew, The house is a metaphor for a home. Happiness is a metaphor for change.
BoJack, Happiness is a metaphor
Todd, Where are we going?
Diane," Oh, my God."
Lenny," BoJack, this is Corduroy Jackson-Jackson, your costar."
Corduroy Jackson-Jackson," Hey, man."
BoJack," Corduroy Jackson-Jackson. Oh, right, the underwear guy."
Corduroy," Underwear model actor dancer dreamer. Also, you know, I'm a huge fan. I'm so excited amped pumped to be working with you. Yeah."
BoJack," Hey, man, that's fantastic great I-ran-out-of-things."
Diane, Hi. Kelsey Jannings?
Kelsey, That depends. Are you my ex-wife's lawyer?
Diane, I'm Diane. I'm here to be a character consultant.
Kelsey, What?
Diane," I got a call from the studio, they said—"
Kelsey, Okay. Why don't you stand over there and make sure no one trips over that cable?
Diane, This cable?
Kelsey, Do you have a thousand dollars for me?
Diane, What?
Kelsey," Because each minute I spend talking to you, that's how much money I'm wasting."
Diane, Oh. Sorry.
Kelsey," Hey, who's this guy? Who lets this guy in?"
Todd, I just er
Kelsey, He's got a funny face. I like your face guy.
Todd, Thank you.
Kelsey, What a cute funny face. You wanna cookie?
Todd, Err okay.
Kelsey, Can someone get this guy a cookie?! He's got a very soothing face and I like looking at it. it's Like a Matisse painting.
Todd, Whoa.
BoJack," Guys, could I get everyone's attention, please?"
Diane," Oh, watch out for the cable. Don't trip over the cable."
BoJack, I just want everyone to know what an honor it is to be here. Secretariat has always been a personal hero of mine. It's a complex role that requires a precise touch and a deft hand and I just can't wait to tackle it head-on. It's truly an honor. Namaste.
Kelsey," Neat. So, in this scene, Secretariat's at his lowest. He just lost his first race, his father was sent to the glue factory. It's a dark moment."
BoJack, You got it.
Debra," Scene 22 alpha, take one."
Kelsey, Action!
Corduroy," Hey, Secretariat."
BoJack, What are you doing here? 
Lenny, Ugh 
Diane, Hello?
Sebastian," Diane! I can't tell you how disappointed I am you're not here with me in Northern Cordovia. I'm incredibly disappointed. Boo! I didn't think I could do it, but I did it. I'm amazing!"
Diane," Sebastian, I know you're doing important work. But I couldn't just drop everything and fly to the Third World. I just got married, and—"
Sebastian," Diane. People are dying, and I'm witnessing it. And I need people to witness me witnessing it."
Diane," I know, and I'll be there in three months, as soon as I'm done on the movie. This is also important. In a way."
Sebastian," Well, lucky for you, there'll still be just as much famine and war and devastation in three months."
Man, I'm not dead yet.
Diane, Yep. Lucky me.
Man," We're still rolling, people."
Kelsey," So, BoJack, in this scene, Secretariat is sad, right? He's afraid he's gonna lose his scholarship."
BoJack," Oh, sure. Yeah, sad. Of course. Duh. "
Kelsey," Okay, here we go. Action."
Corduroy," Hey, Secretariat."
BoJack,  What are you doing here? That was bad. I know that was bad. Let's keep it rolling.
Kelsey, I'll say when to keep rolling.
BoJack," Okay. What are you doing here? Did we get it? I can tell by your face that we didn't get it. All right, let me try again. What are you doing—? I'm sorry I am having trouble with the words. Is it okay if I play around with it a little bit? ""When did you get here?"" Sorry, no. Got it. Got it. Got it. Man, these lights are bright, huh? Can we kill these lights at all? Is that a—?"
Kelsey, No.
BoJack," Okay, I'm sad. I'm sad. Acting sad. Secretariat is sad. Okay, here we go. I'm sad! Sorry, what was the line?"
Diane," I don't know if this helps or not, but when Secretariat was a kid—he actually—"
Debra, Aah! My face!!
Man One," Hey, hey."
Man Two," Whoa, whoa!"
Debra," Oh, my God."
Man Three, Watch out!
Man Four, Hey.
Man Six," Whoa, whoa!"
Debra," Oh, my God. My face! My beautiful face! Why didn't someone tell me not to trip over that cable?! It was such an important job, but no one was there to do it and now my face is in ruins!!"
Kelsey," Okay, we're gonna need a couple of days to rebuild this set. So, let's all just use this time to regroup and really figure out what we're doing and why we're here."
The Horse," So, let me get this straight. Bad means good?"
Olivia, Maybe you should leave the teen-talk to me. Jeezy Kableezy.
Beatrice," Well, it wasn't Ibsen."
BoJack, That's your takeaway? That your son's TV show wasn't Ibsen?
Beatrice, I'm sorry. Did you need a compliment?
BoJack, That's
Beatrice," Oh, I loved the part where you got your head caught in the banister."
BoJack, Yeah it's
Beatrice," And what's this letter I have? It's from the government saying, I'm proud of you."
BoJack, Are you?
Beatrice," Oh, no, what actually I'm holding is nothing."
BoJack," Excuse me, can you check on our drinks? I would love some gin right now."
Beatrice, I wouldn't drink anything out of an open container. This town is full of AIDS.
BoJack," Well, that's not"
Beatrice," You're a clown, you know that?"
BoJack," And you've always been a pillar of support. Gin, please? Is there gin coming?"
Beatrice," I'm here, aren't I? I suffered through that ordeal. You know, the man sitting next to me was wearing a T-shirt? A T-shirt, BoJack, in the theater!"
BoJack," Yes, a T-shirt. That is the worst thing that's ever happened to anyone in a theater."
Beatrice, The T-shirt told me to just do it.
BoJack, Here we go.
Beatrice, I don't know to what it the T-shirt referred but I will not be spoken to in that tone by an article of clothing.
BoJack, Vodka? Triple sec? Looking for any alcohol.
Beatrice, You don't know how lucky you are to have me. I hope you die before I do so you never have to know what it's like to lose a mother.
BoJack," well, as long as one of us dies, that's good enough for me. Can we please get some alcohol into my mouth?!"
Andrew, The past is past. That's why it's called the past. Tomorrow is an opportunity. You can be big and proud and bang on your tom tom drum or you can get in your boat and row. Tom or row. Tomorrow.
Diane," Hey, do you wanna talk?"
BoJack, Talk? Why? Why would we do that? So you can put everything we talk about in a book and sell a million copies?
Diane, Wow. Uh 
BoJack," Sorry, that's what the old me would have said. The new me doesn't hold a grudge. No."
Diane," I gotta say, the new you seems a little on edge."
BoJack," What? Me? I'm as cool as The Fonz in a meat locker. That's a metaphor, Diane."
Diane," Actually, it's a simile."
BoJack," Goddamn it. Oh, okay. Hello?"
Princess Carolyn," Hey, small talk, small talk, small talk. Are you blowing it? I heard you're blowing it."
BoJack, What? Who told you that? Was it Todd? Todd!
Todd, Huh?
Princess Carolyn," You gotta turn this ship around, BoJ. If you don't— Hey, can you hold on a second sweetheart? I'm getting another call."
BoJack, Wha'?
Princess Carolyn," Well, if it isn't my friend, Rutabaga, the boy prince of the 26th floor."
Rutabaga," Carolyn. How are things all the way up on 27? Stomp once for good, twice for killing it. Killing. Give me some gossip. My wife is making me go to the opera tonight and I need something to distract me from the thought of a bunch of D-bags singing songs in German about their boners."
Princess Carolyn," Okay, you gotta keep this close to the vest but I am inches from getting Emily VanCamp the lead in Goose Van Sant's new movie about Jackie O."
Rutabaga," My clients would've lo-huh I-ip if I got them parts like that. You're seriously killing it in the department of kicking ass in regards to you being an agent and being good at it, crushing it."
Princess Carolyn," You're not so bad yourself, Rutabaga, for a 26er."
Rutabaga," You're the only one in this building who isn't a total snooze-cooze. Yes, Natasha, I'm talking about you. I know you're listening. Ugh. I gotta go. I made Natasha cry."
BoJack," Yeah, I don't think she's coming back this call."
Todd," Could we keep it down in the front, please? Thank you."
BoJack, What am I gonna do?
Diane," Well, you were an actor for nine years on Horsin' Around. How did you do that?"
BoJack," Uh, Hey, Herb, can I talk to you for a minute?"
Herb," Of course, buddy. I always have time for you, my good friend BoJack in this, the year 1988. Have a seat. Hey, enough with the stomping already!"
BoJack, Am I Am I a clown?
Herb," Oh, brother. Didn't I tell you not to invite your mom to the taping? As Max Headroom would say, Your m-m-mom is a b-b-bitch."
BoJack," But I am a good actor, right?"
Herb," BJ, I don't know. Look You know what you're good at? Hitting your mark, saying your lines, loudly with good diction."
BoJack, But should I be doing more? To capture the character and make the audience connect to its feelings?
Herb," This is a situation comedy. No one watches this show to feel feelings. Life is depressing enough already. You bring joy to millions of people. Maybe someday later, you'll need to learn how to act for real. But for now, don't worry about it."
BoJack," Oh, shit. I'm not an actor. All this time, I assumed there was more to me than everyone thought but maybe there isn't. That's the part where you're supposed to disagree with me."
Diane," Oh, right. Well, you got the part, didn't you? What did you do in the audition?"
BoJack," Well, how should I know? That was the old me. Now I've got a brand-new attitude. Oh, God. Okay. Okay. What should I do? Make a break for it? Drive to Mexico? Start a new life there? Meet a local girl? Fall in love? Talk my way into a job at a textile plant? Gradually work my way up until I own the place? No! What am I talking about? I can't run a textile plant, that's way too much responsibility. Oh, What am I gonna do? The walls are closing in!"
Diane," BoJack, breathe. You can do this. You have two days. Maybe you could hire an acting coach."
BoJack, Yeah?
Diane," Yeah. Plus, you can watch old Secretariat videos. I've got a hard drive full of research."
BoJack," Yeah. Yeah, you're right. You're right. I can do this. I've got two whole days. And when the pressure's on, that's when I shine. Yeah. Two days. I can do all those things. Oh, shit. I didn't do any of those things. What are you doing here?"
Kelsey, Ah! That was it. Say that again.
BoJack, What are you doing here?
Kelsey, Okay.
BoJack, No?
Lenny," BoJack, before we get started I wanted to show you this."
BoJack, What is this?
Lenny, This is the machine that's gonna make you a good actor.
BoJack, Really?
Lenny," No dummy. We just need to make a scan of your face so that if you die, we can finish the movie without you."
BoJack, what?
Lenny," Standard procedure these days. When a star is assessed to be of certain liability, like say if there was a whole book written about what a reckless jackass he is, you make a digital replica of his head, so you're not screwed if he goes all Belushi on you."
BoJack," Wait, which Belushi?"
Man," Hold still, please. Terrific. We got it."
Lenny," You know, one day, that's gonna be the actor's whole job  just sit in a room for five seconds while a machine scans his face and then six months later, plugging a movie on Kimmel."
BoJack, I gotta go on Kimmel now too? What if he makes me read a mean tweet? I'm not emotionally prepared for that.
Lenny," Don't worry so much. If you can't do this part we'll just fire you and get someone else who can. Either way, I'll be fine."
Kelsey," What do you need, BoJack?"
BoJack," I don't know. I thought I wanted this, but now I'm feeling all this pressure. Do you think you made a mistake, hiring me?"
Kelsey," I don't make mistakes, BoJack. I do the crossword in Sharpie, and I never learned the shortcut for undo."
BoJack, It's Command Z.
Kelsey," Don't need it, won't use it."
BoJack," I'm trying to have this brand-new attitude, you know, be this better, more positive guy, but I just keep thinking about how this movie is my last shot at happiness."
Kelsey," Well, BoJack, I hope this helps"
Todd, Aw.
Lenny," Hey, Diane, you're a writer, aren't you?"
Diane, Yes. Yes. I am a writer. What do you need?
Lenny," Can you write on a sign watch out for cable? I know you were telling people that, but it's a really important job and a sign is less likely to get distracted."
Diane, Oh. Yeah. Okay.
BoJack, What are you doing here? What are you doing here? What are you doing here? What are you doing here?
Mr. Peanutbutter," So, I went a little overboard and I made you two mixes. The first CD is all Mighty Mighty. The second CD is all of the Bosstones' side projects and solo singles. so you can Listen to it and imagine the band never took that hiatus in the mid-aughts when America briefly lost interest in ska."
BoJack, What?! I don't have time for this. I don't wanna listen to your music. I don't wanna hang out. Get the hell out of here.
Mr. Peanutbutter," All right. You don't wanna listen to Bosstones together. That's the impression that I get. Is it the impression that I get, tho'?"
BoJack, Yes. That's the impression that you get.
Mr. Peanutbutter," I see. Way to go, Mr.Peanutbutter. What a stupid move. Why did you?"
Todd," BoJack, listen, I know you're scared, but it's gonna be okay. You gotta be strong."
BoJack," Yeah, but"
Todd," You gotta rise to the occasion, okay? So what if the new couch is weird? Or lumpy?"
BoJack," Uh, what?"
Todd, What are you gonna do? Just sleep in BoJack's car forever?
BoJack," Are you talking to me, or you?"
Todd," Damn it, time to stop being a coward. It's time to go home and sleep on BoJack's couch. Hurray! Happy ending for Todd!"
Princess Carolyn," Charley. Listen, I wanted to touch base about Emily's start date on Jackie O."
Charley," Oh, yeah. Uh Well, we got some new screen tests and, uh, Goose decided to go in a different direction."
Princess Carolyn, Are you saying the Van Sant camp wants to recant on VanCamp? Because they can't.
Charley, Uh
Princess Carolyn," Charley, you better get your client to change his mind or I'll walk up to the 28th floor and "
Charley, Just kidding. I can't get to the phone right now.
Princess Carolyn, What?
Charley, This is one of those answering machines that sounds like it's Charley talking but it's actually just an answering machine.
Princess Carolyn," I know you're there, Charley."
Charley, Leave a message.
Princess Carolyn, I'm not gonna leave a message.
Charley, Beep.
Princess Carolyn," Hey, Charley, Princess Carolyn again. Listen"
Charley, Mailbox is full.
Princess Carolyn, What? Mailbox full?
Charley, Error. Message deleted.
Princess Carolyn, Wait No
Charley, Gotta go. Bye.
Rutabaga, Carolyn.
Princess Carolyn," Rutabaga, this is not a good time."
Rutabaga," Okay. Can I please just tell you about the opera, though?"
Princess Carolyn, How did you like the opera?
Rutabaga," I loved it. Loved Tristan, loved Isolde, cried like a bunny. Listen, my brain has been a-buzzing for the past few days thinking about that Jackie O movie. I know it's your baby, but I did make a few calls and got my Rooney a screen test."
Princess Carolyn, I put that movie together for my client.
Rutabaga," No, no, no, don't freak out. It's just a screen test. But, honestly, how fantaj would my Rooney be as a young Jackie Bouv? Stomp once for so fantaj, twice for stupid-fantaj. Carolyn? I only heard one stomp. Oh. Carolyn, I heart you. You're beautiful. I wish I met you before I got married."
Andrew, You can do it. Only you hold the keys to the house that is you. The house is at the top of a hill. The hill is also you.
P.A.," Five minutes, Mr.Horseman."
Andrew," When you get your brand new attitude, you're gonna wave goodbye to the old"
BoJack," What do you want, Mom?"
Beatrice, Look who finally decided to pick up the phone.
BoJack, Do you need more blood?
Beatrice," I don't need blood. I read your book, BoJack."
BoJack, Oh.
Beatrice, It takes a real narcissist to think anyone wants to buy a book about him. You know how I feel about Anne Frank.
BoJack, That was a diary.
Beatrice, I read the parts about me. The things I said to you. You must think I'm a real monster.
BoJack, Mom
Beatrice," I don't wanna fight you, BoJack. I just wanted to tell you I know. I know you wanna be happy, but you won't be, and I'm sorry."
BoJack, What?
Beatrice," It's not just you, you know. Your father and I, we Well, you come by it honestly, the ugliness inside you. You were born broken, that's your birthright. And now you can fill your life with projects your books and your movies and your little girlfriends but it won't make you whole. You're BoJack Horseman. There's no cure for that. Anyway, do you remember who directed The Philadelphia Story? Five letters, second letter U?"
BoJack, Lubitsch?
Beatrice," No, BoJack. Goodbye."
Andrew," You need to visualize it flying out the window, over the"
BoJack, What are you doing here?
Kelsey, Great. We got it. Let's move on.
,
S2E2,
BoJack," So, at the end of the day, I'm just a regular guy trying to live a regular life."
Date One, Remember that time you peed in Drew Barrymore's car?
BoJack," Uh, yes, I remember that. Why do you remember that?"
Date Two, It was in your book. You should do that to someone here.
BoJack, What?! No.
Date Three," Well, anyway, I can't believe I'm on a date with BoJack Horseman. I feel like that anonymous girl from Chapter 8 of your book mixed with the pluck and determination of that anonymous girl from Chapter 12 of your book."
BoJack, We don't need to dwell on the past.
Date Four," Wait, shut up. Is this the restaurant you bought when you were trying to show up Mr. Peanutbutter?"
BoJack, Uh No.
Date Five," Hey, this table's a little wobbly. You want to yell at the waiter and make a scene?"
BoJack," No, I don't need"
Date Six," Come on, do that BoJack thing where you make a big deal and everyone laughs, but at the same time we relate, because you're saying the things polite society won't."
BoJack, That's not Ugh
Waiter, Is everything all right over here?
BoJack," No, everything is not all right. This table's been wobbling all evening. If I wanted to flop around and get seasick for an hour, I'd call your mother. Something in that area or?"
Date Six, Take me home now and don't let me get out of bed until I turn horse-colored.
BoJack, What are you doing?
Woman, Did you want me to stay?
BoJack," No, I wanted you to leave more quietly. Some of us here are trying to forget you exist. "
Woman, Forget you exist.
Woman," Classic BoJack. Love it. Oh, my God, are you Todd?"
Todd," Uh, yes."
Woman," Shut up, Todd!"
Todd," Aw, okay."
BoJack," Hey, Todd, can you drive me to get my car?"
Todd, Err
BoJack," I wanted to be responsible last night, so I Ubered home and left my car in the fountain."
Todd," Sorry, BoJack. I gotta get ready for my grand opening. It's finally happening. My Disneyland."
BoJack," I realize that by saying what I might set off a chain of events whereby we continue this conversation, but what?!"
Todd," Well, remember when I first moved in and I kept asking if we could go to Disneyland together?"
BoJack, I do not.
Todd, And then you said that there was no Disneyland.
BoJack, No.
Todd," That Disneyland was a made-up lie, like the tooth fairy, that parents use to get their kids to behave."
BoJack," Oh, yeah, that shut you up."
Todd," Sure did. But then I thought Why isn't there a Disneyland? People would love it! So, I took matters into my own hands, and over the last five years, I built my own Disneyland."
BoJack, You've been doing this for five years? How have you never mentioned it before?
Todd," Well, I bought that cheap plot of non-arable dirt by the toxic waste dump up the hill from the old fire station."
BoJack," Okay, Todd."
Todd, I'm gonna build a Disneyland.
BoJack," Sounds great, champ."
BoJack," and if it wasn't for that, she never would've gotten sober."
Todd," Well, just finished drawing up blueprints for that Disneyland I'm building."
BoJack," Kind of busy here, Todd. So, it turned out to be a good thing I peed in her car."
Todd, Sorry for all the noise. Got this crew of worker bees to help me build my Disneyland.
BoJack," Okay, I get it. You are building your own Disneyland. Literally the first I'm hearing of this."
Todd," Well, anyway, tomorrow we open the gates. Finally, people will have a place to go after they win the Super Bowl."
BoJack," Okay, but you do know that there already is a Disneyland?"
Todd," Yeah, I built it."
BoJack," No, I mean the real Disneyland."
Todd," You mean, the one in the hearts and minds of children everywhere?"
BoJack, The one in Anaheim!
Todd, I think we're saying the same thing.
BoJack, Are we?
Doc," Well, I think it's safe to take the cone off. I can do it for a small co-pay."
Mr. Peanutbutter," Can't say I'll miss it, but we did have some crazy adventures together these last few weeks. Honey, would you rub my chin for me so I can remember things?"
Diane," Oh, um, okay. Uh"
Mr. Peanutbutter," Yeah, memories. Hey, where should we go for my first meal after the operation?"
Diane," It's not an operation, but we could go to Storky's again."
Mr. Peanutbutter," Oh, yeah! We're finally due for our free sub. ""Storky's, where your 81st sandwich is free."""
Diane, We've been there 80 times? It just opened last month.
Mr. Peanutbutter," Yeah, but you love it, so whenever you suggest it, I always say yes."
Diane," Yeah, but 80 times?"
Doc," Well, that'll be 6,000 dollars."
Diane, Ew--
Doc," Good thing you're getting a free sandwich, huh?"
BoJack," What the? —Huh? Okay, you guys. You vultures are killing me!"
Vulture, I'm sure he's talking about other vultures.
BoJack," Ah, the Valley. Because sometimes you wanna go where no one knows your name."
Pinky Penguin, BoJack Horseman!
BoJack," Pinky? Hey, how are you?"
Pinky," Oh, great!"
BoJack, How's the book biz?
Pinky," Who knows? I jumped off that burning ship. Print media? What a joke. Now I got a job in broadcast network television, a booming industry with nowhere to go but up. Oh, God."
BoJack, What are you doing here?
Pinky," Oh, my boss loves this place. Do you know Wanda Pierce? Wanda just got named head of programming at MBN. We're here to celebrate. Well, that and she just woke up from a 30-year coma."
BoJack," Wait, she just got out of a 30-year coma and she's the head of programming at a major broadcast network?"
Pinky," Well, she's been with the company 30 years. Everyone above her kept getting fired. Besides, she's got some really fresh ideas."
Wanda Pierce, I am really feeling The Kirk Cameron Show. I don't even need a pilot. Let's just order 22 episodes. 
Wanda, How about a new show where celebrities try to guess whether or not people have talent? We'll air it three nights a week. 
Wanda," Okay, what if we got relevant superstar David Copperfield to make the World Trade Center disappear?"
Pinky," Oh, I hate to be the one to tell you this, but David Copperfield really isn't a big draw anymore. Actually, everything feels fresh if you just forget the last 30 years ever happened."
BoJack, Huh.
D.J.," And here's a special request. I've never even heard of this song,""Special Feeling."""
Pinky," Wanda, meet the one and only BoJack Horseman."
Wanda, Who?
BoJack, BoJack.
Wanda, Who?
BoJack, BoJack Horseman.
Wanda, Is that name supposed to mean something to me? Do you want to go skate?
BoJack," Nah. You know what they say, you can lead a horse to roller, but you can't make him rink."
Pinky, What?
Wanda, That's really funny. You're funny.
BoJack, Really?
Wanda," Oh, my God. You should be on TV, which, holy shit, they're flat now."
BoJack," Actually, I was on. You know what, I'm sick of talking about me. Let's talk about you."
Wanda," Next thing I know, I'm waking up from a 30-year coma. So, now I'm sleeping on my sister's couch, but it's not ideal. She's molting. You know how sisters are."
BoJack," Oh, jeez, got a couple of curly guys in here with the regulars. How hard is it to look before they bring it out? Excuse me, miss?!"
Wanda," I know, isn't it cool? Like we're getting away with something."
BoJack, What?
Wanda, Don't you love it when appetizers have a little crossover episode? It's like when you're watching Happy Days and Mork shows up.
BoJack," Oh, yeah, I guess. Or like when Kramer was on Murphy Brown."
Wanda, Who?
BoJack," Hey, you want to get out of here?"
Wanda," I don't want MBN to just be another boring old network, you know what I mean?"
BoJack," Yes, totally."
Wanda," I want to take risks. I want to swing for the fences, you know? Otherwise, what are we doing?"
BoJack," Oh, my God, is it morning? We stayed up all night talking, and we didn't even have sex."
Wanda," Well, it's not too late."
BoJack, Oh!
Wanda, That was fantastic.
BoJack," Oh, yes."
Wanda," Of course, I haven't had sex in 30 years. I hope."
BoJack, Something's wrong.
Wanda, What is it?
BoJack," I don't know, I feel weird, like I want to spend more time with you even though I know we just had sex."
Wanda," Oh, okay."
BoJack," No, you don't understand. We already had sex, but I still want to spend time with you. Is that normal? Am I normal? What is happening to me?"
Wanda," it's okay, We can spend more time together."
BoJack," I want to— do things with you. Fully clothed, sober, in daylight hours."
Wanda, Okay.
BoJack," I don't understand these feelings. Let's get food? Or walk in a park? Or—Oh, God, it's coming. I can't stop it. Do you want to go to Disneyland?"
Wanda, Okay.
Wanda, Disneyland has a lot more sparking wires and loose nails than I remember.
Todd," Please hold your questions until the end of the tour. Here we have Mr. Todd's Wild Death-Coaster. The name is a work in progress, but we wanted to work ""death"" into the title for liability reasons. And this is Gabe Jr., the Grease Fire of the Caribbean."
Vincent Adultman, This is boring. I want to go home.
Princess Carolyn," Vincent, be nice! He's a little cranky because he just got adult braces."
BoJack," You mean, braces."
Vincent," Princess Carolyn, stop embarrassing me!"
Princess Carolyn, Ugh.
Todd, And here we have Cinderella's magical pile of used mattresses.
Kid, Help!
Diane, Is it a good idea to keep all those mattresses so close to an active grease fire?
Todd," Where's your sense of wonder, Diane?"
Wanda," Wow, your friend is really negative."
BoJack," Yeah, don't be so negative, Diane."
Diane, What?
BoJack," You know I hate negativity. I mean, I don't hate it because that's also negative, but you know."
Todd," Hey, Mr.Peanutbutter."
Mr. Peanutbutter," Hey, buddy. This place is amazing. It's like some sort of Disney version of Knott's Berry Farm."
Todd," Oh, that's exactly what I was going for!"
Mr. Peanutbutter, I can't wait to get involved and really spray the old Mr. Peanutbutter scent on everything.
Todd," Uh, I was sort of thinking of this as kind of—just my thing."
Mr. Peanutbutter," Well, technically, you did build this while working for P.B. Livin, so I have the blah-blah-blah of first refusal or whatever."
Todd," Oh, uh, okay."
Mr. Peanutbutter," I mean, that's just good business. We're in this together now Todd, and nothing will distract me from—Erica! You can't be here. This place is filled with children."
Man," ""Coach said he saw you headed to the visitor's locker room with a steel pipe in your hand."""
BoJack," ""You really think I'm the guy who busted that pinto's leg? 'Cause if I am, you should be a lot more goddamn scared of me."" — Hey! My girlfriend's here. Look, everyone! I have a girlfriend!"
Kelsey, Sure. We'll cut there. The middle of your line is as good a place as any.
BoJack, What are you doing here?
Wanda," Just wanted to stop by. We're filming ""Hey, I Think You Can Dance!"" on the stage next door."
BoJack," Well, look at you, all professional. Like Natalie Portman in that movie where she was a professional."
Wanda, Who? People are watching.
Diane," Ugh. Of course, the first time BoJack dates a woman his own age, she's basically just a stunted 20-year-old."
Kelsey," Well, BoJack's stunted, too. He got famous in his twenties, so he'll be in his twenties forever. After you get famous, you stop growing, you don't have to. Every celebrity has an age of stagnation."
Diane," I'm glad I never got famous. I mean, I did write a best-selling book, but I'm not famous-famous."
Kelsey," Oh, it doesn't just happen when you get famous. Your age of stagnation is when you stop growing. For most people, it's when they get married, settle into a routine. You meet someone who loves you unconditionally and never challenges you or wants you to change, and then you never change."
Diane," But mostly it's just the famous people, right?"
Man, Stella! Stella! Corona Light.
Wanda, This place is incredible.
BoJack," I wanted to make you feel at home, and nothing was bigger in the '80s than '50s nostalgia."
Wanda," It really feels like I'm back in the '80s, feeling like I'm back in the '50s. It's like if Back to the Future and Peggy Sue Got Married got married."
D.J.," Okay, teenyboppers, let's take things back to the '50s, '50s style, with this classic '50s hit that everybody remembers"
BoJack," Wanda, these last few days have been so amazing. You've given me a fresh start. In fact, it almost feels like I just woke up from a 30-year coma."
Alex," I'm sorry, did you say you just woke up from a thirty-year coma?"
BoJack," Oh, no, not me. Her."
Alex, That's insane. I just woke up from a thirty-year coma.
D.J.," Whoa! Sorry about that needle skip, folks. Let's start that song again from the beginning."
Alex, I'm Alex.
Wanda, Wanda.
BoJack, And I'm BoJack.
Alex," You know, it's been really tough for me these last few weeks. I've never seen Home Alone and everyone makes me feel like a freak because of it."
BoJack, You've never seen Home Alone?
Wanda," I've never seen Home Alone! Also, I don't really know what a DVR is."
Alex, Neither do I!
BoJack, No one does. It's just a magic box.
Alex," Wanda, we have so much in common."
BoJack, Really it's just one thing. You can't count each individual thing as a different thing you have in common. That's like saying I have a lot in common with Kanye West because we both breathe air constantly.
Wanda & Alex, Who? Jinx. Buy me a Coke Zero. What's a Coke Zero? I have no idea.
Alex, We gotta hang out more. I didn't know there was anyone else like me.
Wanda, Give me your fax and pager number so I can add them to my Rolodex.
Alex, Tubular.
BoJack, I don't trust that guy. I bet he's seen Home Alone.
Wanda," BoJack, I'm starting to lose the thread of your character. You think you can drop the jealous boyfriend routine? It feels a little done."
BoJack," You're right, I'm sorry. Call me Snoop Dogg because I will drop it like it's hot."
Wanda," BoJack, I don't— Oh, I got that one! Snoopy the dog. From ""Peanuts."" Okay."
Princess Carolyn," Oh, I got here as fast as I could. Where's this next Haley Joel Osment you were telling me about?"
BoJack," Oh, that was a lie to get you here."
Princess Carolyn," Aw, fish. There's never a next Haley Joel Osment."
BoJack," And there never will be. Sorry, I tricked you, but with Todd running his own Disneyland and character actress Margo Martindale in prison for some reason I don't remember, you're the best friend I've got right now. Now grab the binoculars. I need dirt on Wanda's new gentleman friend."
Princess Carolyn," No, BoJack. What's the play here? You'll find one little imperfection and harp on it forever like you do with my boyfriend?"
BoJack," but You do understand what my ""thing"" is with your boyfriend, right?"
Princess Carolyn, You're just gonna push her into this other guy's arms. Wanda likes you. Why ruin that?
Alex," This is Comrade Alexander calling KGB High Command. It's been two weeks since I woke up from deep sleep, and I still have not been contacted by my handlers. I am awaiting orders to take down the American dogs and pigs and other various animals and humans. Come in, KGB High Command."
BoJack," Slap my salami, the guy's a commie."
Todd," Hey, what's going on here?"
Lawer," You've been served with a cease-and-desist from my clients, the Walt Disney Company."
Mr. Peanutbutter," I wanted to make sure what we were doing here was hundred percent legal, so I called a lawyer."
Todd," Wait, what?!"
Mr. Peanutbutter," As it turns out, it's not legal at all. Who knew?"
Todd, Mr. Peanutbutter.
Lawer, We'll see you in court.
Todd, The food court?
Lawer, No. Regular court.
Todd," Okay. But also I'm hungry, so I might just stop by the food court first."
Judge," Let the record show, this is the single dumbest case I've ever adjudicated. Mr.Chavez?"
Todd," Okay. Well, I'm just gonna throw this out there. Is it possible maybe when the other guys tried to copyright the name Disneyland, they wrote down something else by mistake, so ""Disneyland"" is still up for grabs?"
LawYer," Okay, well, let's have a look at the Articles of Incorporation to see if Walt Disney accidentally trademarked the wrong name. I'm sure these—"
